"Sekcja","Klucz","EN","PL","ES","Uwagi"
"Skills","skills.s4F2Body","Developing scalable Webflow websites with custom CMS structures, animations, and clean responsive layouts.","Skalowalne strony Webflow z customową strukturą CMS, animacjami i czystymi, responsywnymi layoutami.","Desarrollar sitios Webflow escalables con estructuras CMS a medida, animaciones y layouts responsive limpios.",""
"Skills","skills.s4F3Title","Developer-Ready Handoffs","Handoff gotowy dla deweloperów","Handoffs listos para developers",""
"Skills","skills.s4F3Body","Designing with code constraints in mind, delivering structured Figma variables, design tokens, and clear technical specs.","Projektowanie z myślą o ograniczeniach kodu: uporządkowane zmienne Figma, design tokeny i jasne specyfikacje techniczne.","Diseñar con las restricciones del código en mente: variables de Figma estructuradas, design tokens y specs técnicas claras.",""
"Hero","hero.badgeLocation","Panama","Panama","Panamá",""
"Hero","hero.badgeAvailability","Global remotely","Globalnie zdalnie","Remoto global",""
"Hero","hero.line1","I design scalable","Projektuję skalowalne","Diseño productos","Linia 1 naglowka — nie sklejaj z innymi liniami"
"Hero","hero.line2Lead","products & interactive","produkty i interaktywne","escalables y experiencias","Linia 2 naglowka"
"Hero","hero.line2Before","","doświadczenia ","","Tekst przed glitchem (moze byc puste)"
"Hero","hero.line2Glitch","digital","cyfrowe","digitales","Slowo z efektem glitch"
"Hero","hero.line2After"," experiences",""," interactivas","Tekst po glitchu (moze byc puste)"
"Hero","hero.description","I combine solid UX/UI principles with interactive motions and generative AI workflows to build converting solutions.","Łączę solidne zasady UX/UI z interaktywnym motionem i workflowami generative AI, by budować rozwiązania konwertujące.","Combino principios sólidos de UX/UI con motion interactivo y flujos de trabajo de IA generativa para construir soluciones que convierten.",""
"Hero","hero.portraitCaption","[ Hi! My name is Chris Bartosik ]","[ Cześć! Nazywam się Krzysztof Bartosik ]","[ ¡Hola! Me llamo Chris Bartosik ]","Zachowaj nawiasy [ ]"
"Hero","hero.pillar1","Product & UX/UI","Produkt i UX/UI","Producto y UX/UI",""
"Hero","hero.pillar2","Interactive motion","Interaktywny motion","Motion interactivo",""
"Hero","hero.pillar3","No-code & handoff","No-code i handoff","No-code y handoff",""
"Hero","hero.pillar4","Generative AI workflows","Workflowy generative AI","Flujos de IA generativa",""
"Hero","hero.viewWork","Selected projects","Wybrane projekty","Proyectos seleccionados",""
"Hero","hero.aboutMe","About me","O mnie","Sobre mí",""
"Work","work.heading","My work","Moje wybrane projekty","Mi trabajo",""
"Work","work.description","Explore my latest work transforming complex visions into seamless digital experiences. Proven solutions, built to lead and engineered to endure.","Zobacz moje najnowsze realizacje — złożone wizje zamienione w spójne doświadczenia cyfrowe. Sprawdzone rozwiązania, zaprojektowane by prowadzić i zbudowane by trwać.","Explora mi trabajo más reciente: visiones complejas convertidas en experiencias digitales fluidas. Soluciones probadas, hechas para liderar y diseñadas para perdurar.",""
"Work","work.seeAll","See all projects","Zobacz wszystkie projekty","Ver todos los proyectos",""
"Work","work.pageTitle","My Work","Moje wybrane projekty","Mi trabajo",""
"Work","work.pageDescription","Selected projects by Chris Bartosik.","Wybrane projekty Krzysztofa Bartosika.","Proyectos seleccionados de Chris Bartosik.",""
"Klienci","clients.line1","Brands & products","Marki i produkty","Marcas y productos",""
"Klienci","clients.line2","I've collaborated with","z którymi współpracowałem","con las que he colaborado",""
"Klienci","clients.description","From local startups to international businesses, I help companies elevate their digital presence through UI/UX, branding, and interactive experiences.","Od lokalnych startupów po międzynarodowe firmy — pomagam markom wzmocnić obecność cyfrową przez UI/UX, branding i interaktywne doświadczenia.","Desde startups locales hasta empresas internacionales, ayudo a las compañías a elevar su presencia digital a través de UI/UX, branding y experiencias interactivas.",""
"Narzedzia","tools.heading","The tools I work on","Narzędzia, na których pracuję","Las herramientas con las que trabajo",""
"Narzedzia","tools.line1","The tools","Narzędzia","Las herramientas",""
"Narzedzia","tools.line2","I work on","na których pracuję","con las que trabajo",""
"Opinie","testimonials.line1","What they say","Co mówią","Lo que dicen",""
"Opinie","testimonials.line2","about me","o mnie","de mí",""
"Opinie","testimonials.description","Every digital landmark I create is a result of deep trust and precise execution.","Każdy cyfrowy projekt, który tworzę, jest wynikiem zaufania i precyzyjnego wykonania.","Cada hito digital que creo es resultado de una confianza profunda y una ejecución precisa.",""
"Opinie","testimonials.quote1","I am more than pleased with the result. Our website has gone from being merely informative to becoming a true representation of who we are as a company.","I am more than pleased with the result. Our website has gone from being merely informative to becoming a true representation of who we are as a company.","I am more than pleased with the result. Our website has gone from being merely informative to becoming a true representation of who we are as a company.","Cytat — PL i ES sa jeszcze po angielsku"
"Opinie","testimonials.quote2","The way Chris built our new Webflow site moved See More to finally show our clients a professional side we're actually proud of.","The way Krzysztof built our new Webflow site moved See More to finally show our clients a professional side we're actually proud of.","The way Chris built our new Webflow site moved See More to finally show our clients a professional side we're actually proud of.","Cytat — PL i ES sa jeszcze po angielsku"
"Opinie","testimonials.quote3","Thank you again, I really like how elegant it looks but also showing a youth image as I asked you!","Thank you again, I really like how elegant it looks but also showing a youth image as I asked you!","Thank you again, I really like how elegant it looks but also showing a youth image as I asked you!","Cytat — PL i ES sa jeszcze po angielsku"
"Opinie","testimonials.quote4","The fresh look and energy Chris provided allowed us to show the world what MexiMunchies is all about.","The fresh look and energy Krzysztof provided allowed us to show the world what MexiMunchies is all about.","The fresh look and energy Chris provided allowed us to show the world what MexiMunchies is all about.","Cytat — PL i ES sa jeszcze po angielsku"
"Opinie","testimonials.quote5","A total transformation. Chris provided the strategic branding we needed to stand out on market and connect with our audience.","A total transformation. Krzysztof provided the strategic branding we needed to stand out on market and connect with our audience.","A total transformation. Chris provided the strategic branding we needed to stand out on market and connect with our audience.","Cytat — PL i ES sa jeszcze po angielsku"
"Opinie","testimonials.role1","CEO of NRV","CEO NRV","CEO de NRV",""
"Opinie","testimonials.role2","CEO of See More Logistics","CEO See More Logistics","CEO de See More Logistics",""
"Opinie","testimonials.role3","Owner of TRG","Właścicielka TRG","Propietaria de TRG",""
"Opinie","testimonials.role4","Founder of Mexi Munchies","Założycielka Mexi Munchies","Fundadora de Mexi Munchies",""
"Opinie","testimonials.role5","Founder of Snacks Lovers PTY","Założyciel Snacks Lovers PTY","Fundador de Snacks Lovers PTY",""
"About (home)","about.eyebrow","My story","Moja historia","Mi historia",""
"About (home)","about.intro","I am an independent digital creator who turned a craft obsession into a practice dedicated to quality. I combine design engineering and development to build digital products that last.","Jestem niezależnym twórcą cyfrowym, który zamienił obsesję na punkcie rzemiosła w praktykę oddaną jakości. Łączę design engineering z developmentem, by budować produkty cyfrowe, które trwają.","Soy un creador digital independiente que convirtió una obsesión por el oficio en una práctica dedicada a la calidad. Combino design engineering y desarrollo para construir productos digitales que duran.",""
"About (home)","about.kickerBefore","[Beyond","[Poza","[Más allá","Zachowaj [ na poczatku"
"About (home)","about.kickerAfter","the pixels]","pikselami]","de los píxeles]","Zachowaj ] na koncu"
"About (home)","about.heading","I build digital products that balance deep technical precision with seamless interactive experiences.","Buduję produkty cyfrowe, które łączą głęboką precyzję techniczną z płynnymi doświadczeniami interaktywnymi.","Construyo productos digitales que equilibran una precisión técnica profunda con experiencias interactivas fluidas.",""
"About (home)","about.body1","With 5+ years of hands-on experience in product design, I bridge the gap between UI/UX, motion, and code. Having led design system architectures, kiosk UI interfaces, and Webflow builds, I focus on turning complex systems into simple, beautiful interactions.","Z ponad 5 lat doświadczenia w product designie łączę UI/UX, motion i kod. Projektując architektury design systemów, interfejsy kiosków i realizacje Webflow, zamieniam złożone systemy w proste, piękne interakcje.","Con más de 5 años de experiencia en product design, uno UI/UX, motion y código. Tras liderar arquitecturas de design systems, interfaces para kioscos y builds en Webflow, me enfoco en convertir sistemas complejos en interacciones simples y bellas.",""
"About (home)","about.body2","Today, I integrate advanced AI generation pipelines and Rive micro-animations into my workflow—allowing me to deliver high-end product experiences faster than traditional design processes allow.","Dziś włączam do procesu zaawansowane pipeline’y AI i mikroanimacje Rive — dzięki czemu dostarczam premium doświadczenia produktowe szybciej niż pozwala na to tradycyjny proces projektowy.","Hoy integro pipelines avanzados de IA y microanimaciones Rive en mi flujo de trabajo, lo que me permite entregar experiencias de producto de alto nivel más rápido que los procesos de diseño tradicionales.",""
"About (home)","about.readMore","Read my full story","Przeczytaj całą historię","Lee mi historia completa",""
"About (home)","about.pageTitle","About me","O mnie","Sobre mí",""
"About (home)","about.pageDescription","Chris Bartosik — independent digital creator, design engineer, and developer.","Krzysztof Bartosik — niezależny twórca cyfrowy, design engineer i deweloper.","Chris Bartosik — creador digital independiente, design engineer y desarrollador.",""
"Strona About","aboutPage.role","Product designer & creative technologist","Projektant produktu i twórca technologiczny","Diseñador de producto y tecnólogo creativo",""
"Strona About","aboutPage.heading","I'm a product designer obsessed with motion, scalable design systems, and modern AI workflows. I help startups and businesses transform raw ideas into pixel-perfect digital experiences.","Jestem product designerem obsesyjnie skupionym na motion, skalowalnych design systemach i nowoczesnych workflowach AI. Pomagam startupom i firmom zamieniać surowe pomysły w pixel-perfect doświadczenia cyfrowe.","Soy un product designer obsesionado con el motion, los design systems escalables y los flujos de IA modernos. Ayudo a startups y empresas a transformar ideas crudas en experiencias digitales pixel-perfect.",""
"Strona About","aboutPage.intro","Over the past 5 years at PhotoAiD, I was responsible for end-to-end product experiences—from desktop and mobile applications to custom interactive physical kiosk interfaces. I managed and scaled core Design Systems, optimized complex user flows using data (Clarity, Google Analytics), and validated design iterations through structured A/B testing.","Przez ostatnie 5 lat w PhotoAiD odpowiadałem za doświadczenia produktowe end-to-end — od aplikacji desktop i mobile po niestandardowe, interaktywne interfejsy kiosków fizycznych. Zarządzałem i skalowałem kluczowe Design Systemy, optymalizowałem złożone ścieżki użytkownika na podstawie danych (Clarity, Google Analytics) i weryfikowałem iteracje designu przez uporządkowane testy A/B.","Durante los últimos 5 años en PhotoAiD fui responsable de experiencias de producto de extremo a extremo: desde aplicaciones desktop y mobile hasta interfaces interactivas a medida para kioscos físicos. Gestioné y escalé Design Systems núcleo, optimicé flujos de usuario complejos con datos (Clarity, Google Analytics) y validé iteraciones de diseño con tests A/B estructurados.",""
"Strona About","aboutPage.timelineHeading","[My timeline]","[Moja oś czasu]","[Mi trayectoria]","Zachowaj [ ]"
"Strona About","aboutPage.job1Date","[2021]","[2021]","[2021]","Zachowaj [ ]"
"Strona About","aboutPage.job1Title","Junior UX/UI designer","Młodszy projektant UX/UI","Diseñador UX/UI junior",""
"Strona About","aboutPage.job1Body","NeuroN is a Polish socio-educational startup targeting young audiences across Europe. I managed the end-to-end design cycle—from discovery, research, and wireframing to final developer handoffs. My foundational role in building structured process habits.","NeuroN to polski startup społeczno-edukacyjny skierowany do młodych odbiorców w całej Europie. Prowadziłem pełny cykl designu — od discovery, researchu i wireframe’ów po finalny handoff dla deweloperów. Moja fundamentowa rola w budowaniu uporządkowanych nawyków procesowych.","NeuroN es una startup socioeducativa polaca dirigida a audiencias jóvenes en toda Europa. Gestioné el ciclo de diseño de extremo a extremo: discovery, research y wireframes hasta el handoff final a desarrollo. Mi rol fundacional en construir hábitos de proceso estructurados.",""
"Strona About","aboutPage.job2Date","[2021 — 2026]","[2021 — 2026]","[2021 — 2026]","Zachowaj [ ]"
"Strona About","aboutPage.job2Title","Product designer / Motion & AI","Product designer / Motion i AI","Product designer / Motion e IA",""
"Strona About","aboutPage.job2Body","A high-growth photographic and AI startup where I scaled experiences over 5 years—from simple landing pages to a complex digital-physical ecosystem. Key focus areas:","Szybko rosnący startup fotograficzny i AI, w którym przez 5 lat skalowałem doświadczenia — od prostych landing page’y po złożony ekosystem digital-physical. Kluczowe obszary:","Una startup fotográfica y de IA de alto crecimiento donde escalé experiencias durante 5 años: de landing pages simples a un ecosistema digital-físico complejo. Áreas clave:",""
"Strona About","aboutPage.job2Item1","Built and maintained a unified, multi-platform Figma design system.","Budowa i utrzymanie spójnego, wieloplatformowego design systemu w Figmie.","Construí y mantuve un design system unificado y multiplataforma en Figma.",""
"Strona About","aboutPage.job2Item2","Designed responsive web (Mobile-First), mobile apps, and interactive kiosk/hardware displays.","Projektowanie responsywnego webu (Mobile-First), aplikacji mobilnych oraz interaktywnych wyświetlaczy kiosk/hardware.","Diseñé web responsive (Mobile-First), apps móviles y displays interactivos kiosk/hardware.",""
"Strona About","aboutPage.job2Item3","Leveraged Clarity and Google Analytics to run user research and validate design iterations via A/B tests.","Wykorzystanie Clarity i Google Analytics do researchu użytkowników i walidacji iteracji designu przez testy A/B.","Usé Clarity y Google Analytics para research de usuarios y validar iteraciones de diseño con tests A/B.",""
"Strona About","aboutPage.job2Item4","Integrated lightweight Rive animations for pixel-perfect polish.","Integracja lekkich animacji Rive dla pixel-perfect wykończenia.","Integré animaciones Rive ligeras para un acabado pixel-perfect.",""
"Strona About","aboutPage.job2Item5","Prepared clean specs and token architectures for seamless engineering collaboration.","Czyste specyfikacje i architektury tokenów pod płynną współpracę z engineeringiem.","Preparé specs limpios y arquitecturas de tokens para una colaboración fluida con engineering.",""
"Strona About","aboutPage.job3Date","[2021 — present]","[2021 — obecnie]","[2021 — presente]","Zachowaj [ ]"
"Strona About","aboutPage.job3Title","Independent brand & web designer","Niezależny brand & web designer","Brand & web designer independiente",""
"Strona About","aboutPage.job3Body","Alongside core roles, I’ve partnered with diverse brands—from military centers (WCR) and logistics platforms (See More Logistics) to real estate and tech startups (like NRV).","Obok głównych ról współpracowałem z różnorodnymi markami — od ośrodków wojskowych (WCR) i platform logistycznych (See More Logistics) po nieruchomości i startupy tech (jak NRV).","Junto a los roles principales, he colaborado con marcas diversas: desde centros militares (WCR) y plataformas logísticas (See More Logistics) hasta real estate y startups tech (como NRV).",""
"Strona About","aboutPage.exploreWork","Explore all case studies","Zobacz wszystkie realizacje","Explora todos los casos",""
"Strona About","aboutPage.close1","Design tools evolve fast, and staying ahead of the curve is my core mindset. I combine Rive micro-animations with AI workflows (Midjourney, Kling, Magnific) and modern tools like Cursor AI and Webflow to build and deploy production-ready web platforms in a matter of days.","Narzędzia designu zmieniają się szybko, a bycie przed krzywą to mój podstawowy mindset. Łączę mikroanimacje Rive z workflowami AI (Midjourney, Kling, Magnific) i nowoczesnymi narzędziami jak Cursor AI i Webflow, by budować i wdrażać gotowe do produkcji platformy webowe w ciągu dni.","Las herramientas de diseño evolucionan rápido, y adelantarme a la curva es mi mindset. Combino microanimaciones Rive con flujos de IA (Midjourney, Kling, Magnific) y herramientas modernas como Cursor AI y Webflow para construir y desplegar plataformas web listas para producción en cuestión de días.",""
"Strona About","aboutPage.close2","I design with engineering constraints in mind. Developers value my handoffs for structured Figma variables, clean tokens, and clear motion specs. Currently based in Panama (EST), fully aligned with US East Coast hours and overlapping with European afternoons. Fluent in English, native in Polish, and B2 Spanish.","Projektuję z myślą o ograniczeniach inżynierskich. Deweloperzy cenią moje handoffy za uporządkowane zmienne Figma, czyste tokeny i jasne specyfikacje motion. Teraz Panama (EST) — pełne dopasowanie do godzin US East Coast i nachodzenie na popołudnia w Europie. Biegły angielski, polski native, hiszpański B2.","Diseño con las restricciones de ingeniería en mente. Los developers valoran mis handoffs por variables de Figma estructuradas, tokens limpios y specs de motion claros. Actualmente en Panamá (EST), alineado con el horario US East Coast y con overlap en las tardes europeas. Inglés fluido, polaco nativo y español B2.",""
"Strona About","aboutPage.meeting","Let's set a meeting","Umówmy spotkanie","Agendemos una reunión",""
"Kontakt","contact.heading","Let's build something great together","Zbudujmy razem coś świetnego","Construyamos algo genial juntos",""
"Kontakt","contact.line1","Let's build something","Zbudujmy razem coś","Construyamos algo",""
"Kontakt","contact.line2","great together.","świetnego.","genial juntos.",""
"Kontakt","contact.description","Every great brand begins with a single conversation. Whether you're building from the ground up or redefining your edge, let's create something that lasts.","Każda wielka marka zaczyna się od jednej rozmowy. Niezależnie czy budujesz od zera, czy redefiniujesz swoją przewagę — stwórzmy coś, co przetrwa.","Toda gran marca comienza con una sola conversación. Ya sea que estés construyendo desde cero o redefiniendo tu ventaja, creemos algo que dure.",""
"Kontakt","contact.sendEmail","Send me a message","Wyślij mi wiadomość","Envíame un mensaje",""
"SEO / meta","meta.title","Chris Bartosik","Krzysztof Bartosik","Chris Bartosik",""
"SEO / meta","meta.description","Independent digital creator, design engineer, and developer forging high-performance digital experiences.","Niezależny twórca cyfrowy, design engineer i deweloper wykuwający wysokowydajne doświadczenia cyfrowe.","Creador digital independiente, design engineer y desarrollador forjando experiencias digitales de alto rendimiento.",""
